शीर्षक,विवरण
नैतिकता र सुशासनको परीक्षा बल्ल सुरु,"त्यस्तो निर्णय र नियुक्ति भएछ भने लामिछानेप्रति मात्रै होइन यो सरकारप्रति पनि प्रश्न उठ्छ, उनले भने, जबर्जस्ती गरेर अहिले नै कुनै पद लिन मिल्दैन । राज्यका निकायले गरिरहेको अनुसन्धानलाई सघाउनु र त्यसको निष्कर्ष पर्खनु उनका लागि र देशका लागि उचित हुन्छ ।सर्वोच्चमा रिट दर्ता गराएका अधिवक्ता युवराज पौडेलले गत मंसिर १२ मा गृहसचिवलाई सम्बोधन गर्दै लामिछानेले एकै पटक दुई देशको नागरिकता र राहदानी प्रयोग गरेकामा छानबिन गर्न अनुरोध गर्दै उजुरी दिएका थिए । उक्त उजुरीलाई गृहले काठमाडौं जिल्ला प्रशासन कार्यालयलाई र प्रशासनले काठमाडौं प्रहरी परिसरलाई पठाएका थिए । प्रहरीको तालुकवाला मन्त्रालयमा लामिछाने आफैं मन्त्री बनेर आएपछि उजुरीमाथिको अनुसन्धान रोकिएको छ । सुशासनको लोकप्रिय नारा दिएर चुनाव जितेका लामिछानेले आफैंमाथि फौजदारी कसुरमा अनुसन्धान गरिरहेको निकायको तालुकवाला मन्त्रालयको जिम्मेवारी लिएको भन्दै त्यतिबेलै आलोचना भएको थियो । आफ्नो दलका तर्फबाट अरू कसैलाई सरकारमा पठाउन भने लामिछाने स्वतन्त्र छन् । तर, आफू नजाने अवस्थामा आफ्नै दलका कुनै पनि नेतालाई गृह मन्त्रालय दिन पनि नमिल्ने कानुन व्यवसायीहरूको भनाइ छ । हठ गरेर गृह मन्त्रालय लिनु स्वार्थको द्वन्द्व हो, वैकल्पिक राजनीतिको पैरवी गर्ने दल र नेताले त्यस्तो गर्न मिल्दैन, अधिवक्ता कर्ण भन्छन्, लामिछाने गृहमन्त्री बनेपछि नागरिकता र राहदानी दुरुपयोगमा प्रहरीले गरिरहेको अनुसन्धान रोकिएको थियो । अब त्यो नटुंगिएसम्म उनी र उनको दलका नेता गृहमा आउन मिल्दैन, क्लिन चिट पाएपछि जुन मन्त्रालय लिए पनि हुन्छ ।लामिछानेको सांसद पद बदर भएसँगै अब चितवन२ मा उपनिर्वाचन हुनेछ । प्रतिनिधिसभा निर्वाचनसम्बन्धी कानुनमा प्रत्यक्ष निर्वाचित कुनै सदस्यको पद रिक्त भएमा उपनिर्वाचन हुने व्यवस्था गरेको छ । निर्वाचन आयोगका एक आयुक्तले सर्वोच्चको फैसला आइसकेपछि आयोगले सरकारसँग परामर्श गरेर कानुनबमोजिम उपनिर्वाचन गर्नेर् बताए ।लामिछानेले दुईवटा नागरिकता र राहदानी प्रयोग गरेको कसुरमा काठमाडौं प्रहरी परिसरले गरिरहेको अनुसन्धानका आधार भेटिएमा जिल्ला सरकारी वकिल कार्यालयले जिल्ला अदालतमा मुद्दा दर्ता गर्न सक्छ । त्यसलाई अदालतले नियमित प्रक्रियाबाट सुनुवाइ गरी फैसला दिन सक्छ । सर्वोच्च अदालतको संवैधानिक इजलासले भने फौजदारी मुद्दा हेर्दैन, उसले प्रतिनिधिसभा सदस्यको अयोग्यतासम्बन्धी विवादमा मात्र सुनुवाइ गर्ने क्षेत्राधिकार प्रयोग गरेको हो । बहसका क्रममा लामिछानेका कानुन व्यवसायी नरेन्द्रप्रसाद गौतमलाई न्यायाधीश खतिवडाले अमेरिकाको नागरिकता त्याग्नुअघि नै कायम नरहेको नेपाली नागरिकता प्रयोग गरेर राहदानी निकाल्न पाइन्छ ? भनी सोधेका थिए । जवाफमा गौतमले उक्त प्रश्न संवैधानिक इजलासको सुनुवाइसँग सम्बन्धित नरहेको बताए । तर, लामिछानेले त्यस्तो कसुर गरेका होइनन् भन्न सकेनन् । सर्वोच्च अदालतको फैसलापछि गृह मन्त्रालयबाट बाहिरिँदै गर्दा लामिछानेले आफूले फैसलालाई सम्मान गर्ने बताए पनि आगामी प्रक्रियाका बारेमा भने अनागरिक ले जवाफ दिन नसक्ने प्रतिक्रिया दिए । उनका कानुन व्यवसायी वरिष्ठ अधिवक्ता पोखरेलले सर्वोच्च अदालतको आदेश अप्रत्याशित भएको प्रतिक्रिया दिँदै भने, तर संवैधानिक इजलासको फैसला स्वीकार्नुको विकल्प छैन । रिट निवेदक अधिवक्ता रविराज बसौलाले सर्वोच्च अदालतको फैसलाले कानुन सबैका लागि समान हुन्छ, त्यसभन्दा माथि कोही छैन भन्ने पुनःस्थापित गरेको बताए । लामिछानेले पुनः नेपाली नागरिकता प्राप्त गर्न कानुनले तोकेको प्रक्रिया पूरा नगरेको हाम्रो दाबी थियो, संवैधानिक इजलासले न्यायको फैसला दिएको छ, उनले भने ।"
ब्लु लाइन का महिला सैनिक,"उनी यहाँ पुरानो गोरखगणअन्तर्गत रहेकी छन् । नेपाली सेनाको मिसन हेडक्वार्टर मिसेनजावेलमा यस पटक रुद्राक्षीसहित ८१ नेपाली महिला शान्ति सैनिक छन् । ८ सय ५० जना नेपाली शान्ति सैनिक रहेको बटालियनमा सबैभन्दा बढी महिला परेको यसैपालि हो । मिसनमा एक वर्ष पूरा गर्दै गरेको गोरखा बक्स गणमा भने ३८ महिला शान्ति सैनिक थिए । युनिफिल मिसनका डेपुटी फोर्स कमान्डर सहायक रथी चोकबहादुर ढकालले शान्ति मिसनमा महिलाको संख्या बढ्नुलाई सकारात्मक रूपमा लिनुपर्ने बताए । सुरक्षाका दृष्टिले जोखिम रहने भए पनि अतिरिक्त आम्दानी राम्रो हुनाले आकर्षण छ । एक सैनिक अधिकृतका अनुसार शान्ति मिसनमा खटिने एक सैनिकले वर्षमा आफ्नो नियमित तलबबाहेक २० लाख रुपैयाँ हाराहारी भत्ता पाउँछन् । संयुक्त राष्ट्रसंघ (यूएन) ले द्वन्द्वग्रस्त क्षेत्रमा महिला शान्ति सैनिक संख्या बढाउन सेना पठाउने मुलुकहरूसँग आग्रह गरिरहेको छ । त्यसैले आगामी दिनमा अझै बढी अनुपातमा नेपाली महिला सैनिक शान्ति मिसनमा खटिने सम्भावना छ । नेपाली सेनाले सन् २००० मा पहिलो पटक महिला शान्ति सैनिकलाई युनिफिलबाट खटाएको थियो । संयुक्त राष्ट्रसंघले सन् २०१८ मा विशेष रूपमा आफ्नो शान्ति मिसनमा पुरुष सैनिकजत्तिकै संख्यामा महिलालाई पनि समावेश गर्न निर्देशन दिएको थियो । पछिल्लो पटक सन् २०२२ जुलाईमा यूएनले सदस्य मुलुकहरूलाई सन् २०२८ सम्ममा मैदानमा सुरक्षामा खटिने सैनिकमा १५ प्रतिशत र पर्यवेक्षक तथा अन्य कर्मचारीमा २५ प्रतिशत महिलाको संख्या पुर्याउन आग्रह गरेको छ । संयुक्त राष्ट्रसंघ (यूएन) ले द्वन्द्वग्रस्त मुलुकहरूमा सन् १९४८ देखि शान्ति सैनिक र पर्यवेक्षक खटाउँदै आएको छ । यूएनको आह्वानमा नेपालले सन् १९५८ देखि द्वन्द्वग्रस्त मुलुकमा शान्ति सैनिक पठाइरहेको छ । पहिलो पटक सन् १९५८ मा भने लेबनानमा पर्यवेक्षकका रूपमा नेपाली सैनिक खटिएका थिए । नेपालले कन्टिन्जेन्टका रूपमा सन् १९७४ देखि नेपाली शान्ति सैनिकको फौजलाई युनिफिलमै खटाइरहेको छ । नेपालको यूएन शान्ति स्थापना यात्रामा ४४ मिसनमा १ लाख ४४ हजार ५ सय ६५ सैनिकले सहभागिता जनाइसकेका छन् । शान्ति स्थापनाकै क्रममा विभिन्न मुलुकमा ७२ सैनिकको मृत्यु र ६६ जना घाइते भएका छन् । हालसम्म २ हजार ७१ नेपाली महिला सैनिकले मिसनमा सहभागिता जनाएका छन् । पुस मसान्तसम्म ५ सय ६ महिला सैनिक विभिन्न मिसनमा कार्यरत छन्, जसमध्ये कन्टिन्जेन्टमा ४ सय ७२ जना छन् । यूएनले तोकेको सीमाअनुसार महिला पठाउन भने शान्ति सैनिक पठाउने नेपालसहितका मुलुकहरूलाई चुनौतीपूर्ण छ । नेपालले अबको ५ वर्षमा धेरै संख्यामा महिला सैनिकलाई शान्ति मिसनमा पठाउनुपर्ने हुन्छ । नेपालले ५ वर्षअघि नै वर्षको १० हजार शान्ति सैनिक पठाउने सम्बन्धमा राष्ट्रसंघलाई जानकारी दिइसकेको छ । त्यति संख्या पठाउँदा महिलाको संख्या पनि बढाउनुपर्ने हुन्छ । नेपाली सेनिकको संख्या हाल करिब ९६ हजार छ, जसमध्ये करिब ७ हजार महिला छन् । शान्ति मिसनमा बढी महिला पढाउन नेपाली सेनामा बढी महिला भर्ती गर्नुपर्ने हुन्छ । यूएनको आग्रहअनुसार शान्ति सैनिकको लैंगिक अनुपात मिलाउन बंगलादेश, इजिप्ट, इथोपिया, घाना, रुवान्डा, सेनेगल, भारत, पाकिस्तानलगायत मुलुकलाई पनि चुनौतीपूर्ण छ । अवकाश प्राप्त उपरथी विनोज बस्न्यात नेपालले आवश्यक परे बढी महिला सैनिक भर्ना गर्न उपयुक्त हुने बताउँछन् । यूएनले नेपाललाई मात्र होइन, अन्य मुलुकलाई पनि यो आग्रह गरेको हो । कति संख्या थप्ने वा नथप्ने भन्ने विषय नेपालको हो । हामीले राष्ट्रिय सुरक्षाका आधारमा त्यो निर्णय गर्नुपर्छ, उनले भने । अर्का पूर्वउपरथी पूर्ण सिलवाल भने नेपाललगायत मुलुकलाई यूएनले अनुरोध गरे पनि सम्बन्धित मुलुकहरूले छलफल गरेर शान्ति मिसनमा पठाउनुपर्ने बताए । गोरख बक्स गणअन्तर्गत एक वर्ष शान्ति मिसनमा रहेर आगामी महिना नेपाल फर्कने तयारीमा रहेकी सहसेनानी रोशनी कार्की नेपाली महिला शान्ति सैनिकले प्रशंसनीय काम गरिरहेको सुनाइन् ।"
पाटन : खुला बौद्ध संग्रहालय,"बौद्ध धर्म अध्ययनको परम्परागत केन्द्रप्राचीन समयदेखि नै नेपाल बौद्ध शिक्षाको एउटा प्रमुख केन्द्र रहेको पाइन्छ, विशेषतः काठमाडौं उपत्यका, त्यसमाथि पनि पाटन । जगदीशचन्द्र रेग्मीले लेखेका छन् पाटन बौद्ध धर्मको अध्ययनका लागि सुरुदेखि प्रमुख केन्द्र थियो र यसको ऐतिहासिक प्रमाण पनि छ । उनले त्यसका लागि गुइत विहारको अभिलेखलाई बलियो प्रमाण मानेका छन् । त्यसमा नेपाल संवत् ३५० को समय उल्लेख छ । त्यस अभिलेखमा पाटनलाई बौद्ध धर्मका लागि प्रसिद्ध केन्द्र रहेको स्पष्ट भनिएको छ । भारतमा विदेशीको आक्रमणपछि त्यहाँ जति विश्वविद्यालय थिए, ती सबै ध्वस्त भए । त्यसक्रममा बचेका धेरै बौद्ध विद्वान् काठमाडौं उपत्यका आए, धेरै पाटनमै बसे । नालन्दा विश्वविद्यालयका अन्तिम गुरु वनरत्न पाटनमै आएर बसेका थिए । पछि गएर विशेषतः तिब्बतीका लागि बौद्ध धर्मको अध्ययनका लागि बेजोड स्थल भएको थियो, पाटन । कग्युपा सम्प्रदायका गुरु मार्पाले पाटनको गुणकरण महाविहारमा अध्ययन गरेका थिए । इस्वीको १२ औं शताब्दीको वरिपरि तथागत वज्र र कुलदत्तले पनि हिरण्यवर्ण महाविहारमा रहेर अध्ययन र अध्यापन गराए । कुलदत्तले लेखेको क्रिया संग्रह ग्रन्थकै आधारमा काठमाडौं उपत्यकामा परम्परागत बौद्ध पूजा गरिन्छ । अझ त्यस ग्रन्थकै आधारमा काठमाडौं उपत्यकामा जति पनि विहार छन्, ती सबैको निर्माण भएका हुन् । लुम्बिनीमा हालै निर्माण भएको परम्परागत नेपाली बौद्ध विहार पनि त्यही क्रिया संग्रह ग्रन्थको आधारमा हो । आधुनिक समयमा ब्रायन हडसनले अमृतानन्दको सहयोगले नेपालको इतिहास अध्ययन गरे भने गुणानन्दको सहयोगमा ड्यानिएल राइटले यो काम गरे । अमृतानन्द र गुणानन्द दुवै पाटनकै हुन् । यसैबाट पहिलोपल्ट बाहिरी विश्वले काठमाडौं उपत्यका बौद्ध धर्मको विशिष्ट स्वरूपका लागि प्रसिद्ध छ भनेर थाहा भएको हो । त्यसपछि त नेपाल आएर बौद्ध धर्मको अध्ययन गर्ने क्रम सुरु भयो र यसका लागि पाटन नै धेरै अनुसन्धानकर्ताको पहिलो रोजाइ रह्यो । त्यसैले नेपालबारे अध्ययन गर्ने ग्रेगोरी सारकीदेखि डेविड ग्लेनर सबैले अध्ययन र अनुसन्धानका लागि पाटनलाई नै रोजेका छन् । बुद्धिराज भन्छन्, पाटन वास्तवमै खुला संग्रहालय हो, यहाँ बौद्ध धर्मसम्बन्धी अध्ययन र अध्यापनका लागि प्रचुर सम्भावना छ । उनी अझ के पनि भन्छन् भने पाटनमा परम्परादेखि चलिआएको बौद्ध धर्मबारे अझै धेरै अध्ययन र अनुसन्धान बाँकी नै छ । ठीक यही बेला, जति छन्, त्यो परम्पराको संरक्षण पनि उत्तिकै महत्त्वपूर्ण छ ।"
"त्रिविमा खस्कँदो शिक्षा, विदेशिँदै विद्यार्थी","(काठमाडौं)अभिषेक बायुङ त्रिभुवन विश्वविद्यालयअन्तर्गत बीएस्सी सीएसआईटी दोस्रो सेमेस्टरका विद्यार्थी हुन् । परीक्षा दिनुपर्ने बेला उनी भने विदेशी विश्वविद्यालयको कोर्स पढ्ने तयारीमा छन् । पुरानो विश्वविद्यालय भएकाले यसैमा सीएसआईटी पढ्न भर्ना भए पनि त्रिविको तालिका देखेर दिक्दार लागेको उनले बताए । पहिलो सेमेस्टरको जाँच पनि राम्ररी दिइयो । तर, दोस्रो सेमेस्टर पढ्दै गर्दा अहिलेसम्म ब्याचरल भर्ना भएको रजिस्ट्रेसन नम्बर पाएको छैन, बल्खुस्थित परीक्षा नियन्त्रण कार्यालयमा भेटिएका उनले भने, सोचेजस्तो पढाइ नहुने र रिजल्ट पनि ढिलो आउने रहेछ । त्यसैले यो छोडेर विदेशी कोर्सको तयारीमा छु । बायुङले राष्ट्रिय परीक्षा बोर्डबाट कक्षा १२ पास गरेपछि प्राप्त माइग्रेसन सर्टिफिकेट सीएसआईटी भर्ना हुँदा कलेजमा बुझाएका थिए । कलेजले रजिस्ट्रेसनका निम्ति सो सर्टिफिकेट त्रिविमा पठाएको बताएपछि उनी नियन्त्रण कार्यालय धाइरहेका छन् । कार्यालयले सर्टिफिकेट फिर्ता नहुने र रजिस्ट्रेसन नम्बर कलेजमै उपलब्ध हुने जवाफ दिएको उनले बताए । विज्ञान विषय कक्षा १२ मा ए ग्रेड हासिल गरेका शिशिर राई पनि अध्ययनका लागि विदेश जाने तयारीमा छन् । नेपालको युनिभर्सिटीमा आउट डेटेड कोर्स पढाउँछन्, उनी भन्छन्, कोर्सहरू थ्योरीमा आधारित हुन्छन्, प्राक्टिकल छैन । इन्टर्न गर्न समस्या छ । रिजल्ट ढिलो हुन्छ । पढेपछि काम पाइँदैन । त्यसैले विदेश जान चाहेको हो ।विद्यार्थीको पीडाबोध गराउने यी उदाहरण मात्र हुन् । त्रिविको शैक्षिक क्यालेन्डर भद्रगोल हुँदा सयौं विद्यार्थी दुःख झेलिरहेका छन् । राष्ट्रिय परीक्षा बोर्डले तालिकाअनुसार वैशाखमा कक्षा १२ को परीक्षा लिन्छ, असार अन्तिममा नतिजा प्रकाशन गर्छ । त्यसपछि साउनभदौमा क्याम्पस भर्ना भएर असोजदेखि धमाधम पठनपाठन हुनुपर्ने हो । तर त्रिभुवनलगायत अरू विश्वविद्यालयले दुई महिनाभन्दा बढी समयपछि मात्र स्नातक तहमा विद्यार्थी भर्ना खुलाउँछन् । आर्थिक हैसियतका विद्यार्थी प्राइभेट कलेजमा भर्ना हुन्छन् । न्यून आर्थिक हैसियत भएकाले त्रिविका आंगिक क्याम्पसको भर्ना कुर्छन् । आंगिक क्याम्पसले सेमेस्टर प्रणालीलाई केही प्राथमिकता दिन्छन् भने वार्षिक प्रणाली सुस्त प्राथमिकता राखेर भर्ना लिन्छन् । जसका कारण विद्यार्थीको धैर्य टुट्ने गरेको छ । स्वदेशमा पढ्दा ढिलासुस्ती र बेरोजगारी हुने भएकाले विदेशी कोर्स या विदेशकै विश्वविद्यालय रोज्ने गरेका छन् । देशभर ११ केन्द्रीय विश्वविद्यालय, प्रादेशिक विश्वविद्यालय र डिम्ड युनिभर्सिटी (मानित विश्वविद्यालय) सहित २२ वटा विश्वविद्यालय छन् । अधिकांश विद्यार्थीको रोजाइ त्रिवि नै हो । तर, मुलुकको जेठो त्रिविले आफ्नो शैक्षिक क्यालेन्डर चुस्तदुरुस्त राख्न नसक्दा स्नातक पढ्न युवाहरू विदेशिने गरेको विज्ञको मत छ । डिन र नियन्त्रण कार्यालयबीचको आपसी अविश्वास र द्वन्द्वको प्रत्यक्ष असर विद्यार्थीहरूमा परेको छ । यी दुई कार्यालयबीचको द्वन्द्वले परीक्षाफल प्रकाशन ढिलो हुने गरेको छ । तर, परीक्षा नियन्त्रण कार्यालय भने परीक्षाफल प्रकाशन ढिलाइ हुनुमा कोभिडको कारण र दक्ष जनशक्तिको कमी रहेको दाबी गर्छ । तीन महिनाभित्र हुनुपर्ने नतिजा प्रकाशन डेढ वर्षभन्दा बढी समयसम्म पनि प्रकाशन गर्न सकेको छैन । त्रिविका ६२ आंगिक र १ हजार ६२ सम्बन्धनका क्याम्पस छन् । विश्वविद्यालय अनुदान आयोगको रेकर्डमा त्रिविमा ४ लाख ३६ हजार जति विद्यार्थी पढ्छन् । स्नातकोत्तर तहका सबै कार्यक्रम र स्नातकका सीमित कार्यक्रम सेमेस्टर प्रणालीमा छन् । सेमेस्टर प्रणालीको भर्ना, पठनपाठन र नतिजा प्रकाशन सबै डिन कार्यालयअन्तर्गत सञ्चालन हुन्छ । सेमेस्टर प्रणालीमा विद्यार्थी शुल्क महँगो छ, जुन डिन कार्यालयले असुल्छ । त्यसको नतिजा प्रकाशनपछि परीक्षा नियन्त्रण कार्यालयले सर्टिफिकेट मात्र बाँड्छ । स्नातक तह वार्षिक प्रणालीको विद्यार्थी भर्ना, पठनपाठन आंगिक र सम्बन्धनका क्याम्पसले लिन्छन् । नतिजा प्रकाशन कार्य बल्खुस्थित परीक्षा नियन्त्रण कार्यालयले प्रकाशित गर्छ । डिन कार्यालयले शुल्क लिँदा नियन्त्रण कार्यालयको आयस्रोत घटेको अधिकारी बताउँछन् । डिन कार्यालयले विद्यार्थीबाट एकमुष्ट ठूलो रकम असुल्ने तर वार्षिक प्रणालीमा नियन्त्रण कार्यालयले ज्यादै न्यून रकम पाउने भएपछि आन्तरिक खटपट हुने गरेको देखिन्छ, एक प्राध्यापकले भने । रेक्टर शिवलाल भुसाल पनि त्रिविको संरचना ठूलो भएकाले एउटै क्यालेन्डर लागू गर्न नसकिएको बताउँछन् । के बुझिदिनुपर्यो भने त्रिभुवन विश्वविद्यालय मल्टिडिसिप्लिनरी हो, उनी भन्छन्, मास्टर्सको सेमेस्टर सिस्टम भएकाले सम्बन्धित डिन कार्यालयले आफ्नै क्यालेन्डर बनाउँछ । सामान्य समयचाहिँ हामी निर्धारण गर्छौं, यो महिनादेखि यो महिनासम्म भर्ना, यो समयमा परीक्षा भनेर क्यालेन्डर बनाउँछौं । त्यसको विस्तृत रूपमा डिन कार्यालयले बनाउँछ । त्यसकारण एउटै क्यालेन्डर बनाउन हामीलाई कठिन हुन्छ । इन्जिनियरिङ विषयको भने २०५७ सालदेखि अहिलेसम्म एउटै क्यालेन्डर लागू रहेको रेक्टर भुसालको दाबी छ । रेक्टर अफिसले वार्षिक कार्यक्रम र बल्खु परीक्षा नियन्त्रण कार्यालयले जाँच लिने कार्यक्रमको टेन्टेटिभ क्यालेन्डर बनाउँछ, त्यसअनुसार क्याम्पसहरूले भर्ना, पढाइ सञ्चालन गर्छन्, उनले भने, डिन कार्यालयका मास्टर डिग्री कार्यक्रम भर्ना यो समयमा खोल्ने भन्ने सहमतिको क्यालेन्डर बनाइदिन्छौं । त्योबीच उहाँहरूले आफ्नो क्यालेन्डर बनाउनुहुन्छ । त्यसकारण ठूलो विश्वविद्यालय भएकाले यसै दिन भर्ना र यसै दिन परीक्षा भन्न सकिन्न । रेक्टर भुसाल त्रिविमा क्यालेन्डरमा होइन नतिजा प्रकाशनमा समस्या भएको बताउँछन् । सेमेस्टर प्रणालीअनुसार हरेक ६ महिनामा परीक्षा लिने र नयाँ भर्ना लिनुपर्ने हुन्छ । तर, त्रिविले वर्षमा एक पटकमात्र विद्यार्थी भर्ना लिने गरेको छ । एउटा समेस्टरको परीक्षामा सामेल भएका विद्यार्थीले नतिजा प्रकाशन नहुँदै अर्को सेमेस्टर पढ्न दिने र वर्ष दिनमा नतिजा प्रकाशन गर्ने गरेको छ । राष्ट्रिय परीक्षा बोर्ड र त्रिविको क्यालेन्डरबीच तालमेल नरहेका कारण समस्या रहेको रेक्टर भुसालको भनाइ छ । बोर्डले गत साल अत्यन्त ढिलो नतिजा प्रकाशित गर्यो । अझ त्रिविको इन्ट्रान्स सकिएपछि मौका परीक्षाको नतिजा सार्वजनिक गर्यो, उनले भने, हामीले दोहोर्याएर इन्ट्रान्स लिनुपर्यो । त्यसकारण परीक्षा बोर्डको ढिलाइ हो । त्रिविको नयाँ सत्रमा विद्यार्थी संख्या घट्दो रहेको भुसाल स्विकार्छन् । तर, एक सत्रमा भर्ना घट्दैमा विद्यार्थी घटेको भन्न नमिल्ने उनको तर्क छ । राष्ट्रिय परीक्षा बोर्डका अध्यक्ष डा महाश्रम शर्मा कोरोना महामारीपछि नियमित तालिकाअनुसार कक्षा १२ को नतिजा प्रकाशित गरेको बताउँछन् । तीन महिनाभित्र नतिजा प्रकाशित गर्ने नीतिअनुसार ८० दिनअगावै नतिजा प्रकाशित गरेका छौं, उनले भने, हाम्रो क्यालेन्डर अन्तर्राष्ट्रिय क्यालेन्डरअनुसार छ । कक्षा १२ पास गरेपछि विद्यार्थीले स्वदेश या विदेश जहाँको विश्वविद्यालयमा पढ्नका लागि समयभित्रै सर्टिफिकेट पाएका छन् । कक्षा १२ को नतिजा प्रकाशित गरेलगत्तै सुदूरपश्चिम विश्वविद्यालयले मात्र स्नातक तहको भर्ना लिएको शर्माले बताए । त्रिविलगायत अरू विश्वविद्यालयले दुई महिना ढिलो गरी भर्ना खोल्छन्, उनले भने, यदि स्नातकमा विद्यार्थी भर्ना चाँडो गर्ने भएमा विदेशिनु पर्दैनथ्यो । यसतर्फ विश्वविद्यालयहरूको ध्यान पुग्न जरुरी छ । त्रिभुवन विश्वविद्यालयको परीक्षा नियन्त्रक स्वयं राष्ट्रिय परीक्षा बोर्डको सदस्य रहने व्यवस्था छ । हरेक वर्ष तीन लाखभन्दा बढी एसईई उत्तीर्ण हुन्छन् । तीमध्ये एक लाखभन्दा बढीले विदेश अध्ययनका लागि एनओसी (नो अब्जेक्सन लेटर) लिने गरेका छन् । शिक्षा, विज्ञान तथा प्रविधि मन्त्रालयअन्तर्गत वैदेशिक अध्ययन प्रमाणीकरण शाखाको तथ्यांकअनुसार गत साउनयता पुससम्ममा ४५ हजार ९ सय १२ जनाले एनओसी लिएका छन् । एनओसी लिने विद्यार्थी चाप बढ्दो छ, शाखा प्रमुख बासुदेव वस्तीले भने, हरेक बिहान सखारै विद्यार्थीको लाम सुरु हुन्छ, दिनभरि भ्याइनभ्याइ एनओसी दिने गरेका छौं । विदेशमा उच्च शिक्षा आर्जन गर्न एनओसी लिन अनिवार्य छ । गत आर्थिक वर्ष २०७८७९ मा एक लाख १४ हजारले एनओसी लिएका छन् । विद्यार्थीले भारतलगायत ५९ मुलुकका निम्ति एनओसी लिएका छन् । अस्ट्रेलियाका निम्ति १० हजार ७ सय ९९ जनाले एनओसी लिएका थिए । अमेरिका, जापान, क्यानडा, बेलायत, भारत, यूएई, कोरिया, न्युजिल्यान्डका लागि पनि एनओसी लिएका छन् । शिक्षाविद् मनप्रसाद वाग्ले एसईई उत्तीर्णमध्ये विदेशिनेबाहेक एक लाख विद्यार्थीले पढाइ छाड्ने र बाँकी दुई लाख मात्र उच्च शिक्षाका लागि भर्ना हुने बताउँछन् । वाग्लेका अनुसार नेपालको उच्च शिक्षा गुणस्तरीय नहुनु र पढाइ सकेपछि रोजगारी सुनिश्चित नहुनु जस्ता कारणले विद्यार्थीको विदेशिने क्रम बढेको हो । त्रिविको शैक्षिक क्यालेन्डर भरपर्दो नहुँदा विदेशी विश्वविद्यालयबाट सम्बन्धन लिएर नेपालमा सञ्चालित कलेजमा विद्यार्थीको संख्या पनि बर्सेनि बढ्दो छ । शिक्षा मन्त्रालय उच्च शिक्षा महाशाखा प्रमुख कृष्णप्रसाद काप्रीका अनुसार विदेशी विश्वविद्यालयको सम्बन्धनमा ८७ वटा कलेज सञ्चालनमा छन् । ती कलेजमध्ये झन्डै ३४ वटाले ए लेभल पढाउँछन्, काप्रीले भने, सबै कलेजका २२ देखि २५ हजार विद्यार्थी पढ्छन् । यकिन तथ्यांक लिन बाँकी छ, अब अनलाइन ट्र्याकिङ गर्छौं । शिक्षाविद् विद्यानाथ कोइराला पनि त्रिविले विकल्पसहितको क्यालेन्डर लागू नगर्दा शिक्षा अधोगतितर्फ धकेलिएको र विद्यार्थी विदेशिन बाध्य भएको बताउँछन् । विश्वविद्यालयलाई स्वायत्त भन्ने तर हवाईजहाज दुर्घटना भएको दिन विश्वविद्यालय बन्द गराउने दुर्बुद्धिले विद्यार्थीको परीक्षाको शैक्षिक भविष्य अन्योलमा पारेको छ, कोइरालाले भने, विद्यार्थीको शिक्षाप्रति संवेदनशील हुन नसक्नु दुर्भाग्य हो । सबैभन्दा त्रिविको ढिलासुस्तीले विद्यार्थीलाई विदेशिन प्रोत्साहित गरेको छ ।"
भिडियो एक्सरे सेवा रोकियो,राजविराज (कास) राजविराजस्थित गजेन्द्रनारायण सिंह अस्पतालको भिडियो एक्सरे सेवा रोकिएको छ । सेवा बन्द हुँदा अस्पतालका बिरामीलाई अस्पतालबाहिर महँगोमा भिडियो एक्सरे गराउनुपर्ने बाध्यता छ । अस्पतालमा भिडियो एक्सरे सेवा सञ्चालन गर्ने रेडियोलोजिस्ट आशिषकुमार सिंह बिदामा गएपछि सेवा नै ठप्प भएको हो ।
